locationname,age_data_value,crude_data_value,age_low_confidence_limit,crude_low_confidence_limit,age_high_confidence_limit,crude_high_confidence_limit,totalpopulation,totalpop18plus
Alameda,8.9,8.9,7.9,7.9,10.1,10.0,1628997,1311253
Alpine,10.5,10.3,9.3,9.1,11.9,11.7,1190,998
Amador,10.5,10.5,9.2,9.2,11.8,11.8,41412,35068
Butte,10.7,10.7,9.4,9.4,12.1,12.1,207303,165784
Calaveras,10.8,10.6,9.5,9.4,12.2,11.9,46563,38508
Colusa,10.6,10.6,9.3,9.3,12.0,12.0,21914,16137
Contra Costa,9.5,9.5,8.3,8.3,10.6,10.7,1156966,906227
Del Norte,11.6,11.6,10.2,10.2,13.1,13.1,27082,21423
El Dorado,10.0,9.8,8.9,8.7,11.4,11.2,192646,155421
Fresno,10.7,10.8,9.5,9.5,12.0,12.1,1015190,734510
Glenn,10.9,10.8,9.7,9.6,12.3,12.1,28339,20780
Humboldt,11.7,11.6,10.3,10.2,13.2,13.1,135010,110011
Imperial,10.2,10.2,8.9,8.9,11.5,11.5,178713,128478
Inyo,10.6,10.4,9.3,9.1,11.9,11.7,18718,14942
Kern,10.4,10.4,9.2,9.2,11.7,11.7,916108,655754
Kings,10.5,10.5,9.2,9.3,11.8,11.9,152981,112177
Lake,11.1,10.8,9.8,9.6,12.5,12.2,68191,53338
Lassen,10.7,10.7,9.5,9.5,12.1,12.1,29904,24446
Los Angeles,9.1,9.1,8.2,8.2,10.1,10.1,9721138,7737357
Madera,10.8,10.9,9.6,9.6,12.2,12.3,160256,116890
Marin,9.4,9.3,8.3,8.2,10.6,10.5,256018,207716
Mariposa,11.4,11.1,10.0,9.7,12.8,12.5,17020,14037
Mendocino,10.8,10.7,9.5,9.4,12.2,12.1,89783,71066
Merced,11.1,11.1,9.7,9.7,12.5,12.5,290014,207099
Modoc,11.1,10.9,9.9,9.7,12.6,12.4,8511,6957
Mono,10.2,10.2,9.0,9.0,11.5,11.5,12978,10782
Monterey,10.4,10.5,9.2,9.3,11.8,11.8,432858,322881
Napa,10.1,10.0,8.9,8.8,11.5,11.3,134300,108501
Nevada,11.0,10.9,9.7,9.6,12.4,12.3,102293,85163
Orange,9.0,9.0,8.0,8.0,10.1,10.1,3151184,2496667
Placer,10.2,10.1,9.0,8.9,11.4,11.3,417772,327593
Plumas,10.7,10.4,9.4,9.2,12.1,11.8,19351,16081
Riverside,10.0,10.0,8.8,8.8,11.2,11.2,2473902,1880349
Sacramento,10.9,10.9,9.7,9.7,12.3,12.3,1584169,1225015
San Benito,9.8,9.8,8.6,8.6,11.1,11.0,67579,50683
San Bernardino,10.3,10.4,9.2,9.2,11.6,11.7,2193656,1635914
San Diego,9.3,9.3,8.3,8.3,10.4,10.4,3276208,2596582
San Francisco,8.7,8.5,7.7,7.5,9.8,9.6,808437,697737
San Joaquin,10.1,10.1,8.9,9.0,11.3,11.4,793229,586031
San Luis Obispo,10.3,10.2,9.0,8.9,11.6,11.5,282013,234072
San Mateo,8.7,8.6,7.7,7.6,9.8,9.8,729181,588683
Santa Barbara,9.9,9.9,8.7,8.7,11.2,11.3,443837,346432
Santa Clara,8.5,8.5,7.5,7.5,9.5,9.5,1870945,1490785
Santa Cruz,10.2,10.2,9.0,9.0,11.5,11.4,264370,216642
Shasta,11.2,11.1,9.9,9.8,12.6,12.5,180930,142098
Sierra,10.7,10.5,9.4,9.1,12.1,11.8,3217,2684
Siskiyou,11.4,11.1,10.0,9.7,12.8,12.5,43660,34974
Solano,10.0,10.0,8.9,8.8,11.4,11.3,448747,351591
Sonoma,10.3,10.2,9.1,9.0,11.6,11.5,482650,392503
Stanislaus,10.6,10.6,9.4,9.4,12.1,12.1,551275,405382
Sutter,10.6,10.5,9.3,9.3,11.9,11.9,98503,73900
Tehama,11.2,11.0,9.8,9.7,12.6,12.4,65245,49780
Trinity,11.1,10.8,9.7,9.5,12.6,12.3,15781,13039
Tulare,10.6,10.6,9.4,9.4,11.9,12.0,477544,336253
Tuolumne,10.7,10.5,9.4,9.2,12.0,11.8,54531,45145
Ventura,9.8,9.8,8.7,8.7,11.1,11.2,832605,652677
Yolo,10.6,10.6,9.4,9.4,11.9,11.9,222115,178722
Yuba,11.0,11.1,9.7,9.8,12.4,12.5,84310,61597
